pred_state,real_prev
AR,0.133964826333683
CA,0.0930920308158224
CT,0.105643059437242
DE,0.0979863869797875
FL,0.0993134122973734
HI,0.107834677635688
IA,0.0838786098499776
IL,0.0968481982908234
KY,0.111385982394862
MA,0.0906065943241341
ME,0.112990328565787
MI,0.087130996877782
NC,0.103833404258213
NE,0.0859725649430007
NH,0.0964664974824745
NM,0.111482270437674
NV,0.130572052976703
NY,0.112334567614473
OK,0.0951059503302818
PA,0.0907675070964858
RI,0.109487118907166
SC,0.112135460410539
TX,0.104839175135925
VT,0.099859188027376
WI,0.0955551899251074
WV,0.092228511261465
AZ,0.113423415308664
CO,0.102592860675189
MD,0.117408697019487
ND,0.0917588303639436
